Model,Starting Price,Year
"Ford Maverick              ","$23,400",2024
"Ford Transit-150              ","$46,415",2024
"Ford F-450              ","$104,030",2024
"Ford F-150 Lightning              ","$49,995",2024
"Ford Mustang Mach-E              ","$42,995",2023
"Ford Escape PHEV              ","$40,500",2024
"Ford Expedition              ","$54,555",2024
"Ford Expedition Max              ","$58,555",2024
"Nissan Titan              ","$45,770",2024
"Ford Escape              ","$28,000",2024
"Maserati Ghibli              ","$109,500",2024
"Nissan Titan XD              ","$51,930",2024
"Ford Explorer              ","$36,760",2024
"Ford F-350              ","$100,280",2024
"Ford Edge              ","$38,365",2024
"Ford Bronco Sport              ","$31,230",2024
"Ford Bronco              ","$39,130",2024
"Ford Transit Connect              ","$34,100",2023
"Ford F-250              ","$44,970",2024
"McLaren GT              ","$204,990",2023
"Ford F-150              ","$36,570",2024
"McLaren 720S              ","$305,000",2023
"Ford Mustang              ","$30,920",2024
"Mercedes-Benz GLS 580              ","$112,000",2024
"Mercedes-Benz Maybach GLS 600              ","$170,000",2023
"Mercedes-Benz GLE 450 Plug-In Hybrid              ","$69,500",2024
"Mercedes-Benz GLS 450              ","$87,000",2024
"Mercedes-Benz GLE 450              ","$69,500",2024
"Mercedes-Benz GLE 580              ","$86,700",2024
"Mercedes-Benz GLA 250              ","$42,350",2024
"Mercedes-Benz GLE 350              ","$62,650",2024
"Mercedes-Benz GLB 250              ","$44,450",2024
"Mercedes-Benz GLC 300              ",Priceunavailable,2024
"Mercedes-Benz EQB 300              ","$56,900",2023
"Mercedes-Benz EQE 350+              ","$74,900",2024
"Mercedes-Benz G-Class              ",Priceunavailable,2024
"Mercedes-Benz EQE 350              ","$77,900",2024
"Mercedes-Benz EQB 350              ","$60,550",2023
"Mercedes-Benz EQB 250              ","$52,750",2023
"Mercedes-Benz AMG GLE 63              ","$120,000",2023
"Mercedes-Benz AMG GLE 53              ","$86,750",2024
"Mercedes-Benz AMG GLC 43              ",Priceunavailable,2024
"Mercedes-Benz AMG GLB 35              ","$51,500",2023
"Mercedes-Benz Maybach S 580              ","$193,400",2023
"Mercedes-Benz AMG GLA 35              ","$49,500",2023
"Mercedes-Benz AMG GLA 45              ","$56,650",2023
"Mercedes-Benz EQS 450+              ","$104,400",2023
"Mercedes-Benz AMG G 63              ",Priceunavailable,2024
"Mercedes-Benz S-Class              ","$117,300",2024
"Mercedes-Benz AMG SL 63              ","$183,000",2023
"Mercedes-Benz CLA 250              ","$43,700",2024
"Mercedes-Benz EQE 500              ","$85,900",2024
"Mercedes-Benz AMG SL 55              ","$141,300",2023
"Mercedes-Benz AMG GT 63              ","$153,350",2024
"Mercedes-Benz AMG GT 53              ","$109,450",2024
"Mercedes-Benz AMG SL 43              ",Priceunavailable,2024
"Mercedes-Benz AMG GT 43              ","$98,950",2024
"Mercedes-Benz AMG EQE              ",Priceunavailable,2024
"Mercedes-Benz C-Class              ","$46,950",2024
"Mercedes-Benz AMG E 63              ","$112,800",2023
"Mercedes-Benz AMG E 53              ","$81,300",2023
"Mercedes-Benz AMG CLA 45              ","$57,800",2023
"Mercedes-Benz AMG CLA 35              ","$49,500",2023
"Mercedes-Benz CLS 450              ","$76,500",2023
"Mercedes-Benz AMG C 63              ","$81,850",2023
"Mercedes-Benz AMG C 43              ",Priceunavailable,2024
"GMC Savana 2500              ","$40,700",2024
"GMC Savana 3500              ","$43,800",2024
"GMC Canyon              ","$36,000",2024
"GMC Sierra 3500              ","$46,200",2024
"GMC Yukon XL              ","$61,200",2024
"GMC Sierra 1500              ","$37,700",2024
"GMC Sierra 2500              ","$45,400",2024
"GMC Yukon              ","$58,200",2024
"GMC HUMMER EV              ",Priceunavailable,2024
"GMC Terrain              ","$28,700",2024
"GMC HUMMER EV SUV              ",Priceunavailable,2024
"Genesis GV80              ","$57,450",2024
